GAME_DATE,TEAM,TEAM_FULL,PLAYER,PTS,REB,AST,STL,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,EFG_PCT,TS_PCT,MIN,didHit30,didHit4Threes,didHitOver_PTS,didHitOver_REB,didHitOver_AST,didHitOver_FG3M,didHitOver_STL,r3_PTS,r5_PTS,r3_FG3_PCT,r5_FG3_PCT
2025-11-08,NO,New Orleans Pelicans,Kevon Looney,5.0,6.0,0.0,0.0,1,3,33.3,1,2,50.0,2,4,50.0,50.0,52.5,17,0,0,1,1,0,0,0,5.0,5.0,50.0,50.0
2025-11-08,LAC,LA Clippers,Kris Dunn,6.0,2.0,3.0,2.0,3,5,60.0,0,1,0.0,0,2,0.0,60.0,51.0,33,0,0,0,0,1,0,1,6.0,6.0,0.0,0.0
2025-11-08,POR,Portland Trail Blazers,Kris Murray,6.0,3.0,1.0,0.0,3,8,37.5,0,1,0.0,0,0,0.0,37.5,37.5,22,0,0,0,0,0,0,0,6.0,6.0,0.0,0.0
2025-11-08,WSH,Washington Wizards,Kyshawn George,10.0,2.0,3.0,1.0,3,9,33.3,2,6,33.3,2,2,100.0,44.4,50.6,29,0,0,0,0,0,0,0,10.0,10.0,33.3,33.3
2025-11-08,SA,San Antonio Spurs,Lindy Waters III,3.0,1.0,2.0,0.0,1,2,50.0,1,2,50.0,0,0,0.0,75.0,75.0,10,0,0,0,0,0,0,0,3.0,3.0,50.0,50.0
2025-11-08,CLE,Cleveland Cavaliers,Lonzo Ball,2.0,4.0,4.0,0.0,1,4,25.0,0,3,0.0,0,0,0.0,25.0,25.0,22,0,0,0,1,0,0,0,2.0,2.0,0.0,0.0
2025-11-08,LAL,Los Angeles Lakers,Luka Doncic,22.0,5.0,11.0,1.0,7,17,41.2,4,10,40.0,4,6,66.7,52.9,56.0,27,0,1,0,0,1,0,0,22.0,22.0,40.0,40.0
2025-11-08,WSH,Washington Wizards,Malaki Branham,2.0,4.0,2.0,0.0,1,2,50.0,0,1,0.0,0,0,0.0,50.0,50.0,10,0,0,0,0,0,0,0,2.0,2.0,0.0,0.0
2025-11-08,LAL,Los Angeles Lakers,Marcus Smart,5.0,0.0,2.0,2.0,2,4,50.0,0,1,0.0,1,1,100.0,50.0,56.3,21,0,0,0,0,0,0,0,5.0,5.0,0.0,0.0
2025-11-08,PHX,Phoenix Suns,Mark Williams,19.0,6.0,0.0,2.0,7,9,77.8,0,0,0.0,5,5,100.0,77.8,84.8,29,0,0,1,0,0,0,1,19.0,19.0,0.0,0.0
